,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
0,14.497763,6.400158,-2.3705044,-3.9980993,-4.559351,6.2609324,-5.0267143,-2.6010418,6.077049,4.520534,-1.4688733,-4.0881147,-3.0823517,9.140486,-7.5015817,-5.7889414,0
1,15.148252,5.3975005,-1.9469903,-3.306249,-4.6871586,6.420156,-4.0910225,-3.4077797,6.754262,3.7497175,0.012070462,-4.3268304,-2.728039,9.660043,-9.31625,-6.686324,0
2,15.463504,5.4003124,-2.5941975,-2.9384449,-4.38078,5.440109,-4.682047,-2.7487838,7.908765,6.5159764,-2.309701,-4.381142,-3.8185568,7.7228074,-8.945016,-7.3253345,0
3,16.988138,5.8109245,-2.2203875,-3.4189553,-5.5153995,7.333711,-4.0897207,-3.956054,5.200034,5.266034,-1.6923976,-3.8400543,-2.7613647,10.081397,-8.85215,-6.967874,0
4,15.426062,7.449583,-2.7391071,-4.07646,-5.018926,6.4221826,-5.560939,-3.8176327,6.229566,7.3114905,-2.335399,-3.6518133,-3.6681077,5.277663,-6.9281535,-6.007108,0
5,16.962578,6.674029,-2.1606798,-3.8293874,-5.4441924,7.6217074,-4.41695,-4.2861886,7.031153,8.211778,-2.0641286,-3.3076599,-3.354004,2.965774,-6.037858,-5.639463,0
6,17.771366,7.2191305,-2.4792416,-3.048474,-6.6245356,9.15732,-3.941691,-4.3261576,7.588115,9.037427,-2.339586,-2.5307856,-3.4659362,2.5300863,-6.632689,-5.530213,0
7,18.3228,7.68269,-2.5551977,-3.6915474,-8.104751,10.358374,-3.5027404,-5.650405,9.122792,8.964722,-1.7533472,-3.6767282,-3.7503068,2.6707532,-6.975831,-6.5583806,0
8,20.71619,6.3687367,-3.5811176,-3.989165,-7.92937,10.436694,-5.177375,-4.900525,6.725068,6.1845126,-1.3976933,-2.389767,-3.315983,2.4159172,-3.9168203,-5.695739,0
9,17.73289,7.3262725,-2.540255,-4.87891,-7.328273,9.77191,-4.5418897,-4.4554234,8.564353,8.528975,-2.8343036,-3.119814,-4.2474933,2.3548443,-5.2444944,-6.1215596,0
10,15.300111,6.7774897,-2.3582153,-4.4283986,-6.232508,8.426983,-4.7060547,-3.3419013,8.228387,6.563927,-1.6914748,-2.9048421,-3.761763,2.1477883,-4.5188246,-6.3406067,0
11,17.342842,6.7678404,-3.0037756,-4.9084544,-7.652902,9.80867,-4.802233,-5.0764976,8.624575,6.0619,-1.19437,-3.5991323,-3.4750004,3.0497165,-5.0553455,-6.4950366,0
12,15.802686,7.012668,-3.1239564,-3.7711835,-6.4418397,8.419918,-5.2692566,-4.359946,7.2720604,4.072515,0.19013365,-3.5206976,-2.815685,4.5011554,-4.805924,-6.5568495,0
13,14.602831,6.663443,-2.3588445,-4.794423,-7.5484996,9.024736,-5.431979,-5.460811,8.077967,7.5767484,-1.7036226,-3.6874986,-3.6271875,2.602779,-4.299092,-6.3934197,0
14,16.014374,5.919835,-2.422691,-3.814134,-7.0656705,8.615201,-6.2585006,-5.253391,6.144103,4.410227,0.51281714,-3.1763601,-2.8830347,3.086598,-2.5828364,-6.7952623,0
15,15.378782,5.499606,-1.9437311,-4.364467,-6.9893556,8.265204,-6.058166,-5.69232,7.904093,5.980968,-1.3229558,-3.8160214,-4.1012797,4.7251816,-4.8973627,-7.3872795,0
16,16.354721,6.5373325,-2.4338033,-3.7012825,-6.141357,7.759418,-5.8320208,-5.280696,5.728746,4.4159055,-0.32538855,-2.9998665,-2.835736,4.5093756,-3.5938852,-6.4765725,0
17,16.11939,6.0229726,-1.6811073,-3.83506,-6.678166,8.034485,-5.0181684,-5.284026,5.738026,4.4447794,-1.4112102,-4.479419,-2.9367967,9.278355,-6.4448323,-6.5340714,0
18,14.95773,6.7710037,-1.4263892,-3.7942371,-5.768795,8.112712,-4.9123263,-4.4317327,4.145354,4.946038,-0.9751282,-2.6466343,-2.6103163,5.889648,-4.3252745,-6.1422358,0
19,14.726125,6.551219,-1.9011097,-4.4440446,-5.015485,7.0839224,-5.250054,-3.2956018,5.725111,4.616924,-1.2444049,-3.6375916,-2.7114735,8.782236,-7.1744175,-6.8189087,0
20,15.147159,6.853991,-2.7733119,-3.6236439,-5.017476,7.0373597,-6.0088305,-4.82648,5.1459913,3.8622887,-1.1653459,-4.9713883,-2.6388369,13.952583,-10.27981,-7.502751,0
21,13.585146,6.61298,-2.4639654,-4.308911,-5.813377,7.0522485,-6.5387783,-3.6807442,7.1133375,4.967374,-2.1864147,-4.943378,-3.8234124,12.763894,-9.47912,-8.385664,0
22,15.723455,7.6738563,-2.573125,-4.004223,-6.8354573,9.740108,-6.2539463,-5.2345867,4.5423274,3.8502274,-1.9214383,-5.080691,-2.8044572,12.58668,-9.131434,-6.41851,0
